0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
16228,70,07004105070,7,125,14186,105,1,1,1.0,1,"---
- '1'
- '2'
","---
- '1'
- '2'
","---
- '1'
",26.5446000000000,89.1046000000000,,2015-12-30 10:47:36.000000,2015-12-30 10:47:36.000000,20151230_161555_soil.jpeg,image/jpeg,497307.0,2015-12-30 10:47:35.000000,False,2,,2015-12-30,7
1233753,34,11014056034,12,199,45542,056,1,1,3.0,4,"---
- '51'
","---
- '1'
","---
- '1'
",22.0949300000000,88.0120300000000,,2017-05-24 10:04:55.604166,2017-05-24 10:04:55.604166,,,,,True,1312,,2017-05-24,5
1233543,7,11021082007,12,206,28483,082,1,1,2.0,5,,,,21.8300000000000,87.7900000000000,,2017-05-24 07:59:34.950424,2017-05-24 07:59:34.950424,IMAG0360.jpg,image/jpeg,3081393.0,2017-05-24 07:59:33.858680,True,4848,,2017-05-12,5
1233457,90,11007286090,12,192,27260,286,1,1,2.0,4,"---
- '1'
- '2'
","---
- '1'
- '3'
","---
- '1'
- '3'
",22.2400000000000,87.1000000000000,,2017-05-24 07:10:27.591859,2017-05-24 07:10:27.591859,,,,,True,311,,2016-06-07,12
1233744,10,11027021010,12,212,29409,021,1,2,,4,,,,,,,2017-05-24 09:59:07.094912,2017-05-24 09:59:07.094912,,,,,True,630,,2017-05-08,5
1233497,19,11009157019,12,194,27453,157,1,1,3.0,4,"---
- '1'
- '2'
","---
- '7'
- '21'
","---
- '1'
- '13'
",,,,2017-05-24 07:32:55.261897,2017-05-24 07:32:55.261897,,,,,True,306,,2017-03-06,1
1233578,34,11021116034,12,206,28516,116,1,1,4.0,1,,,,21.8116000000000,87.9129000000000,,2017-05-24 08:11:32.070640,2017-05-24 08:11:32.070640,IMAG0158.jpg,image/jpeg,5625294.0,2017-05-24 08:11:30.609130,True,4848,,2017-05-11,4
1233489,17,11021116017,12,206,28516,116,1,1,4.0,1,,,,21.8116000000000,87.9129000000000,,2017-05-24 07:28:41.758376,2017-05-24 07:28:41.758376,IMAG0093.jpg,image/jpeg,5515174.0,2017-05-24 07:28:40.137231,True,4848,,2017-05-11,4
1233739,9,11027021009,12,212,29409,021,1,2,,4,,,,,,,2017-05-24 09:56:46.130957,2017-05-24 09:56:46.130957,,,,,True,630,,2017-05-08,6
1233674,44,11009157044,12,194,27453,157,1,1,3.0,3,"---
- '1'
- '6'
","---
- '15'
- '33'
","---
- '1'
- '12'
",,,,2017-05-24 09:07:51.404487,2017-05-24 09:07:51.404487,,,,,True,306,,2017-03-08,1
1233550,22,11009157022,12,194,27453,157,1,1,3.0,4,"---
- '1'
- '10'
","---
- '13'
- '36'
","---
- '1'
- '13'
",,,,2017-05-24 08:02:48.285316,2017-05-24 08:02:48.285316,,,,,True,306,,2017-03-06,2
1233554,23,11009157023,12,194,27453,157,1,1,3.0,4,"---
- '1'
- '8'
","---
- '3'
- '36'
","---
- '1'
- '13'
",,,,2017-05-24 08:05:07.320557,2017-05-24 08:05:07.320557,,,,,True,306,,2017-03-06,1
1233515,8,11021114008,12,206,28514,114,1,1,2.0,5,,,,21.4800000000000,87.5400000000000,,2017-05-24 07:40:53.551524,2017-05-24 07:40:53.551524,IMAG0352.jpg,image/jpeg,4494195.0,2017-05-24 07:40:52.201093,True,4848,,2017-05-12,5
1233545,8,11021082008,12,206,28483,082,1,1,2.0,5,,,,21.8300000000000,87.7900000000000,,2017-05-24 08:00:48.282576,2017-05-24 08:00:48.282576,IMAG0361.jpg,image/jpeg,4997913.0,2017-05-24 08:00:46.919087,True,4848,,2017-05-12,5
1233589,45,11021105045,12,206,28506,105,1,1,1.0,5,,,,21.8298000000000,87.9364000000000,,2017-05-24 08:15:38.862111,2017-05-24 08:15:38.862111,20170516_094958.jpg,image/jpeg,2830275.0,2017-05-24 08:15:37.923600,True,4848,,2017-05-06,0
565775,100,07004063100,7,125,14144,063,1,1,1.0,2,"---
- '2'
","---
- '2'
","---
- '1'
",26.5770819000000,89.0529505000000,,2017-01-10 07:03:52.838786,2017-01-10 07:03:52.838786,20170110_123305_soil.jpeg,image/jpeg,256185.0,2017-01-10 07:03:52.649048,False,3155,,2017-01-10,4
1233616,1,11024146001,12,209,28986,146,1,1,2.0,4,"---
- '1'
",,"---
- '1'
",,,,2017-05-24 08:24:13.306540,2017-05-24 08:24:13.306540,,,,,True,301,,2017-05-18,1
1233617,35,11009157035,12,194,27453,157,1,1,3.0,4,"---
- '5'
- '7'
","---
- '7'
- '13'
","---
- '1'
- '32'
",,,,2017-05-24 08:24:53.639656,2017-05-24 08:24:53.639656,,,,,True,306,,2017-03-08,1
579005,83,07004066083,7,125,14147,066,1,1,1.0,5,"---
- '2'
- '4'
","---
- '2'
- '5'
","---
- '1'
",26.6169124000000,88.9388959000000,,2017-01-13 14:19:11.611659,2017-01-13 14:19:11.611659,20170113_194454_soil.jpeg,image/jpeg,216667.0,2017-01-13 14:19:11.354420,False,3164,,2017-01-13,4
1233623,37,11009157037,12,194,27453,157,1,1,3.0,4,"---
- '6'
- '15'
","---
- '21'
- '41'
","---
- '1'
- '32'
",,,,2017-05-24 08:28:04.587536,2017-05-24 08:28:04.587536,,,,,True,306,,2017-03-08,1
1233475,13,11021116013,12,206,28516,116,1,1,4.0,1,,,,21.8116000000000,87.9129000000000,,2017-05-24 07:19:26.878592,2017-05-24 07:19:26.878592,IMAG0078.jpg,image/jpeg,4668774.0,2017-05-24 07:19:25.380230,True,4848,,2017-05-11,4
1233637,19,11027023019,12,212,29411,023,1,1,2.0,4,,,,,,,2017-05-24 08:44:42.099831,2017-05-24 08:44:42.099831,,,,,True,630,,2017-05-04,3
23592,215,07004105215,7,125,14186,105,1,1,1.0,2,"---
- '1'
- '2'
","---
- '1'
","---
- '1'
- '2'
",26.5446000000000,89.0987000000000,,2016-01-08 08:20:14.000000,2016-01-08 08:20:14.000000,20160108_134922_soil.jpeg,image/jpeg,574973.0,2016-01-08 08:20:13.000000,False,2,,2016-01-08,10
17836,90,07004105090,7,125,14186,105,1,1,1.0,1,,,,26.5454000000000,89.0990000000000,,2015-12-31 08:25:16.000000,2015-12-31 08:25:16.000000,20151231_115113_soil.jpeg,image/jpeg,189348.0,2015-12-31 08:25:15.000000,False,2,,2015-12-31,6
1233693,48,11009157048,12,194,27453,157,1,1,3.0,4,"---
- '4'
- '30'
","---
- '7'
- '33'
","---
- '1'
- '13'
",,,,2017-05-24 09:15:31.461702,2017-05-24 09:15:31.461702,,,,,True,306,,2017-03-08,1
1233655,64,10019769064,11,182,24247,769,1,1,2.0,2,"---
- '2'
","---
- '4'
","---
- '1'
",22.5100000000000,87.2500000000000,,2017-05-24 08:54:18.881038,2017-05-24 08:54:18.881038,,,,,True,290,,2017-03-16,3
1233643,30,11014056030,12,199,45542,056,1,1,3.0,4,"---
- '51'
","---
- '1'
","---
- '1'
",22.0960200000000,88.0239000000000,,2017-05-24 08:47:13.132828,2017-05-24 08:47:13.132828,,,,,True,1312,,2017-05-24,5
567078,108,07004063108,7,125,14144,063,1,1,1.0,2,"---
- '2'
","---
- '2'
","---
- '1'
",26.5858347000000,89.0207710000000,,2017-01-10 10:11:37.375105,2017-01-10 10:11:37.375105,20170110_154039_soil.jpeg,image/jpeg,326112.0,2017-01-10 10:11:37.168522,False,3155,,2017-01-10,4
1233664,95,11007236095,12,192,27211,236,1,1,1.0,4,,,,22.0000000000000,87.0000000000000,,2017-05-24 09:00:51.872358,2017-05-24 09:00:51.872358,,,,,True,311,,2017-04-19,1
1233698,50,11009157050,12,194,27453,157,1,1,3.0,3,"---
- '7'
- '14'
","---
- '13'
- '33'
","---
- '1'
- '41'
",,,,2017-05-24 09:24:49.288619,2017-05-24 09:24:49.288619,,,,,True,306,,2017-03-08,1
1233696,49,11009157049,12,194,27453,157,1,1,3.0,4,"---
- '5'
- '10'
","---
- '26'
- '33'
","---
- '1'
- '32'
",,,,2017-05-24 09:22:46.362149,2017-05-24 09:22:46.362149,,,,,True,306,,2017-03-08,1
1233704,66,11021105066,12,206,28506,105,1,1,2.0,5,,,,21.8298000000000,87.9364000000000,,2017-05-24 09:27:52.973707,2017-05-24 09:27:52.973707,20170516_095845.jpg,image/jpeg,2866284.0,2017-05-24 09:27:51.932132,True,4848,,2017-05-06,0
1233725,27,07004108027,7,125,14189,108,1,1,2.0,2,"---
- '2'
","---
- '1'
","---
- '2'
",,,,2017-05-24 09:44:48.272021,2017-05-24 09:44:48.272021,,,,,True,3294,,2017-01-05,2
1233706,20,11009056020,12,194,27386,056,1,1,3.0,2,"---
- '1'
- '4'
","---
- '7'
- '21'
","---
- '1'
- '50'
",,,,2017-05-24 09:28:33.135976,2017-05-24 09:28:33.135976,,,,,True,306,,2017-03-20,4
1233720,23,11009056023,12,194,27386,056,1,1,3.0,2,"---
- '1'
- '4'
","---
- '13'
- '21'
","---
- '1'
- '10'
",,,,2017-05-24 09:38:28.206181,2017-05-24 09:38:28.206181,,,,,True,306,,2017-03-20,4
25127,252,07004105252,7,125,14186,105,1,1,1.0,1,,,,0E-13,0E-13,,2016-01-11 10:29:36.000000,2016-01-11 10:29:36.000000,20160111_155628_soil.jpeg,image/jpeg,405738.0,2016-01-11 10:29:35.000000,False,2,,2016-01-11,7
24488,248,07004105248,7,125,14186,105,1,1,1.0,1,,,,0E-13,0E-13,,2016-01-10 09:50:47.000000,2016-01-10 09:50:47.000000,20160110_151752_soil.jpeg,image/jpeg,378428.0,2016-01-10 09:50:46.000000,False,2,,2016-01-10,7
1233630,52,11021105052,12,206,28506,105,1,1,4.0,5,,,,21.8298000000000,87.9364000000000,,2017-05-24 08:33:02.279903,2017-05-24 08:33:02.279903,20170516_095227.jpg,image/jpeg,2618132.0,2017-05-24 08:33:01.227253,True,4848,,2017-05-06,2
1233510,6,11021114006,12,206,28514,114,1,1,2.0,5,,,,21.4800000000000,87.5400000000000,,2017-05-24 07:38:46.681744,2017-05-24 07:38:46.681744,IMAG0350.jpg,image/jpeg,5343667.0,2017-05-24 07:38:45.199265,True,4848,,2017-05-12,4
1233509,5,11021114005,12,206,28514,114,1,1,2.0,5,,,,21.4800000000000,87.5400000000000,,2017-05-24 07:37:35.112006,2017-05-24 07:37:35.112006,IMAG0349.jpg,image/jpeg,3285042.0,2017-05-24 07:37:33.786046,True,4848,,2017-05-12,4
1233745,12,11024146012,12,209,28986,146,1,1,2.0,4,"---
- '1'
",,"---
- '1'
",,,,2017-05-24 09:59:48.745871,2017-05-24 09:59:48.745871,,,,,True,301,,2017-05-18,1
1233719,45,11010185045,12,195,27515,185,1,1,3.0,4,"---
- '1'
",,"---
- '1'
",,,,2017-05-24 09:37:16.608131,2017-05-24 09:37:16.608131,,,,,True,309,,2017-05-11,5
601063,112,07004066112,7,125,14147,066,1,1,1.0,5,"---
- '8'
- '10'
","---
- '2'
- '5'
","---
- '1'
",26.8140435000000,89.1873535000000,,2017-01-21 12:10:33.735320,2017-01-21 12:10:33.735320,20170121_173926_soil.jpeg,image/jpeg,138690.0,2017-01-21 12:10:33.516070,False,3164,,2017-01-21,7
1233649,20,11027023020,12,212,29411,023,1,1,2.0,4,,,,,,,2017-05-24 08:50:44.380084,2017-05-24 08:50:44.380084,,,,,True,630,,2017-05-04,3
1233542,2,11009056002,12,194,27386,056,1,1,3.0,2,"---
- '1'
- '6'
","---
- '7'
- '13'
","---
- '1'
- '36'
",,,,2017-05-24 07:59:31.672781,2017-05-24 07:59:31.672781,,,,,True,306,,2017-03-20,4
1233656,21,11027023021,12,212,29411,023,1,1,2.0,4,,,,,,,2017-05-24 08:54:55.585628,2017-05-24 08:54:55.585628,,,,,True,630,,2017-05-04,0
1233582,16,11024433016,12,209,29087,433,1,1,4.0,4,"---
- '1'
",,"---
- '1'
",,,,2017-05-24 08:13:08.872868,2017-05-24 08:13:08.872868,,,,,True,301,,2017-05-08,1
1233587,20,11021082020,12,206,28483,082,1,1,4.0,5,,,,21.8300000000000,87.7900000000000,,2017-05-24 08:14:52.507766,2017-05-24 08:14:52.507766,IMAG0373.jpg,image/jpeg,4672651.0,2017-05-24 08:14:51.066056,True,4848,,2017-05-12,4
481013,61,07004063061,7,125,14144,063,1,1,2.0,2,"---
- '1'
- '2'
","---
- '2'
- '1'
","---
- '2'
",26.6210535000000,88.9977637000000,,2016-12-03 08:14:32.979774,2016-12-03 08:14:32.979774,20161203_134332_soil.jpeg,image/jpeg,256325.0,2016-12-03 08:14:32.818189,False,3155,,2016-12-03,3
1233615,10,11009056010,12,194,27386,056,1,1,3.0,2,"---
- '1'
- '6'
","---
- '7'
- '21'
","---
- '1'
- '52'
",,,,2017-05-24 08:24:02.805136,2017-05-24 08:24:02.805136,,,,,True,306,,2017-03-20,4
1233666,42,11009157042,12,194,27453,157,1,1,3.0,4,"---
- '7'
- '8'
","---
- '15'
- '33'
","---
- '1'
- '13'
",,,,2017-05-24 09:02:20.340348,2017-05-24 09:02:20.340348,,,,,True,306,,2017-03-08,1
1233670,43,11009157043,12,194,27453,157,1,1,3.0,3,"---
- '1'
- '2'
","---
- '7'
- '13'
","---
- '1'
- '41'
",,,,2017-05-24 09:05:46.275813,2017-05-24 09:05:46.275813,,,,,True,306,,2017-03-08,1
1233634,29,11014056029,12,199,45542,056,1,1,3.0,4,"---
- '51'
","---
- '1'
","---
- '1'
",22.0940000000000,88.0231700000000,,2017-05-24 08:37:57.716159,2017-05-24 08:37:57.716159,,,,,True,1312,,2017-05-24,5
575663,75,07004066075,7,125,14147,066,1,1,1.0,5,"---
- '2'
- '10'
","---
- '2'
- '5'
","---
- '1'
",26.5671402000000,88.9319578000000,,2017-01-12 14:29:42.318288,2017-01-12 14:29:42.318288,20170112_195827_soil.jpeg,image/jpeg,189009.0,2017-01-12 14:29:42.188619,False,3164,,2017-01-12,7
1233635,62,10019769062,11,182,24247,769,1,1,2.0,2,"---
- '2'
","---
- '4'
","---
- '1'
",22.4800000000000,87.2500000000000,,2017-05-24 08:43:16.369143,2017-05-24 08:43:16.369143,,,,,True,290,,2017-03-20,3
567817,15,07004052015,7,125,14134,052,1,1,1.0,2,"---
- '2'
- '3'
","---
- '2'
","---
- '1'
",26.6369228000000,88.9354645000000,,2017-01-10 12:58:09.913029,2017-01-10 12:58:09.913029,20170110_182700_soil.jpeg,image/jpeg,253509.0,2017-01-10 12:58:09.774878,False,2325,,2017-01-10,3
1233608,39,11021116039,12,206,28516,116,1,1,4.0,1,,,,21.8116000000000,87.9129000000000,,2017-05-24 08:21:44.113594,2017-05-24 08:21:44.113594,IMAG0171.jpg,image/jpeg,5456598.0,2017-05-24 08:21:42.867016,True,4848,,2017-05-11,4
1233680,66,10019769066,11,182,24247,769,1,1,2.0,2,"---
- '2'
","---
- '4'
","---
- '1'
",22.4800000000000,87.2500000000000,,2017-05-24 09:09:38.371171,2017-05-24 09:09:38.371171,,,,,True,290,,2017-03-14,3
1233703,51,11009157051,12,194,27453,157,1,1,3.0,4,"---
- '6'
- '8'
","---
- '28'
- '29'
","---
- '1'
- '13'
",,,,2017-05-24 09:27:19.557484,2017-05-24 09:27:19.557484,,,,,True,306,,2017-03-08,1
568075,50,07004052050,7,125,14134,052,1,1,1.0,2,"---
- '2'
- '3'
","---
- '2'
","---
- '1'
",26.6369228000000,88.9354645000000,,2017-01-10 14:32:36.103289,2017-01-10 14:32:36.103289,20170110_200134_soil.jpeg,image/jpeg,130394.0,2017-01-10 14:32:35.934731,False,2325,,2017-01-10,4
1233681,32,11014056032,12,199,45542,056,1,1,3.0,4,"---
- '51'
","---
- '1'
","---
- '1'
",22.0961200000000,88.0237500000000,,2017-05-24 09:10:28.419409,2017-05-24 09:10:28.419409,,,,,True,1312,,2017-05-24,5
607427,139,07004096139,7,125,14177,096,1,1,1.0,2,"---
- '2'
- '3'
","---
- '7'
- '19'
","---
- '1'
- '2'
",26.6133933333333,89.0500583333333,,2017-01-24 06:56:11.538382,2017-01-24 06:56:11.538382,20170124_122512_soil.jpeg,image/jpeg,408986.0,2017-01-24 06:56:11.322071,False,3166,,2017-01-24,4
1233724,47,11010185047,12,195,27515,185,1,1,3.0,4,"---
- '1'
",,"---
- '1'
",,,,2017-05-24 09:44:13.069673,2017-05-24 09:44:13.069673,,,,,True,309,,2017-05-11,3
1233796,8,05007059008,5,94,10934,059,1,1,3.0,2,"---
- '1'
- '2'
","---
- '1'
- '2'
","---
- '1'
- '7'
",22.5433570000000,22.5935660000000,,2017-05-24 10:27:25.297021,2017-05-24 10:27:25.297021,,,,,True,147,,2016-05-04,0
605715,33,07004065033,7,125,14146,065,1,1,1.0,5,"---
- '2'
- '3'
","---
- '2'
- '5'
","---
- '1'
",26.6591332000000,88.9625749000000,,2017-01-23 12:40:46.782436,2017-01-23 12:40:46.782436,20170123_180923_soil.jpeg,image/jpeg,179340.0,2017-01-23 12:40:46.611319,False,3164,,2017-01-23,5
1233754,28,07004108028,7,125,14189,108,1,1,2.0,2,"---
- '2'
","---
- '2'
","---
- '1'
",,,,2017-05-24 10:04:56.240655,2017-05-24 10:04:56.240655,,,,,True,3292,,2017-02-15,4
1233527,24,11021116024,12,206,28516,116,1,1,4.0,1,,,,21.8116000000000,87.9129000000000,,2017-05-24 07:49:44.253241,2017-05-24 07:49:44.253241,IMAG0113.jpg,image/jpeg,5481382.0,2017-05-24 07:49:42.622319,True,4848,,2017-05-11,4
578960,79,07004066079,7,125,14147,066,1,1,1.0,5,"---
- '2'
- '10'
","---
- '2'
- '5'
","---
- '1'
",26.5770219000000,89.0255501000000,,2017-01-13 13:50:06.788984,2017-01-13 13:50:06.788984,20170113_191446_soil.jpeg,image/jpeg,170423.0,2017-01-13 13:50:06.596351,False,3164,,2017-01-13,9
1233783,31,11009056031,12,194,27386,056,1,1,3.0,2,"---
- '1'
- '6'
","---
- '7'
- '21'
","---
- '1'
- '52'
",,,,2017-05-24 10:20:23.787269,2017-05-24 10:20:23.787269,,,,,True,306,,2017-03-20,4
1233551,10,11021082010,12,206,28483,082,1,1,2.0,5,,,,21.8300000000000,87.7900000000000,,2017-05-24 08:03:11.661711,2017-05-24 08:03:11.661711,IMAG0363.jpg,image/jpeg,5083390.0,2017-05-24 08:03:09.931472,True,4848,,2017-05-12,4
1233603,38,11021116038,12,206,28516,116,1,1,4.0,1,,,,21.8116000000000,87.9129000000000,,2017-05-24 08:19:53.009500,2017-05-24 08:19:53.009500,IMAG0169.jpg,image/jpeg,5718319.0,2017-05-24 08:19:51.584094,True,4848,,2017-05-11,4
602794,114,07004066114,7,125,14147,066,1,1,1.0,5,"---
- '4'
- '8'
","---
- '2'
- '5'
","---
- '1'
",26.6861560000000,89.0351067000000,,2017-01-22 11:01:35.157227,2017-01-22 11:01:35.157227,20170122_162727_soil.jpeg,image/jpeg,178323.0,2017-01-22 11:01:35.024652,False,3164,,2017-01-22,7
1233809,3,11021113003,12,206,28513,113,1,1,4.0,5,,,,21.4900000000000,87.5400000000000,,2017-05-24 10:34:02.041053,2017-05-24 10:34:02.041053,20170516_095927.jpg,image/jpeg,2918536.0,2017-05-24 10:34:01.450944,True,4848,,2017-05-01,5
1233795,13,11021081013,12,206,28482,081,1,1,1.0,5,,,,21.8100000000000,81.8900000000000,,2017-05-24 10:26:59.380569,2017-05-24 10:26:59.380569,IMAG0395.jpg,image/jpeg,5096265.0,2017-05-24 10:26:57.526908,True,4848,,2017-05-14,5
1233651,57,11021105057,12,206,28506,105,1,1,2.0,5,,,,21.8298000000000,87.9364000000000,,2017-05-24 08:51:23.682014,2017-05-24 08:51:23.682014,20170516_095341.jpg,image/jpeg,2728882.0,2017-05-24 08:51:22.985722,True,4848,,2017-05-06,4
1233813,30,07004108030,7,125,14189,108,1,1,2.0,2,"---
- '2'
","---
- '2'
","---
- '1'
",,,,2017-05-24 10:35:59.948118,2017-05-24 10:35:59.948118,,,,,True,3162,,2016-12-02,3
1233774,5,11021081005,12,206,28482,081,1,1,1.0,5,,,,21.8100000000000,81.8900000000000,,2017-05-24 10:17:06.741592,2017-05-24 10:17:06.741592,IMAG0387.jpg,image/jpeg,5144647.0,2017-05-24 10:17:05.279635,True,4848,,2017-05-14,5
1233592,21,11021082021,12,206,28483,082,1,1,2.0,5,,,,21.8300000000000,87.7900000000000,,2017-05-24 08:16:20.900464,2017-05-24 08:16:20.900464,IMAG0374.jpg,image/jpeg,5050139.0,2017-05-24 08:16:19.491191,True,4848,,2017-05-12,5
1233723,7,11024146007,12,209,28986,146,1,1,2.0,4,"---
- '1'
",,"---
- '1'
",,,,2017-05-24 09:44:05.152518,2017-05-24 09:44:05.152518,,,,,True,301,,2017-05-18,1
1233546,32,11010191032,12,195,27521,191,2,1,2.0,5,"---
- '1'
","---
- '2'
","---
- '1'
",22.2673171000000,87.7425547000000,,2017-05-24 08:01:47.542415,2017-05-24 08:01:47.542415,,,,,True,309,,2017-04-18,6
1233675,26,07004108026,7,125,14189,108,1,1,2.0,2,"---
- '2'
","---
- '1'
","---
- '2'
",,,,2017-05-24 09:07:59.366417,2017-05-24 09:07:59.366417,,,,,True,3294,,2017-01-05,13
1233564,25,11009157025,12,194,27453,157,1,1,3.0,4,"---
- '5'
- '6'
","---
- '7'
- '21'
","---
- '1'
- '41'
",,,,2017-05-24 08:07:36.550449,2017-05-24 08:07:36.550449,,,,,True,306,,2017-03-06,1
607798,142,07004096142,7,125,14177,096,1,1,1.0,2,"---
- '2'
- '3'
","---
- '7'
- '19'
","---
- '1'
- '2'
",26.6152650000000,89.0527850000000,,2017-01-24 08:02:11.477713,2017-01-24 08:02:11.477713,20170124_132351_soil.jpeg,image/jpeg,432620.0,2017-01-24 08:02:11.241671,False,3166,,2017-01-24,4
